,code,days
1324,300001,1721
1325,600309,3849
1326,603519,416
1327,300303,1142
1328,600774,4857
1329,2250,2054
1330,613,4801
1331,300318,1100
1332,600845,5525
1333,600523,3615
1334,603322,81
1335,300161,1427
1336,601718,1526
1337,300557,20
1338,2337,1667
1339,603727,5
1340,785,4697
1341,600870,5282
1342,2467,1509
1343,300027,1721
1344,2544,1416
1345,600543,3084
1346,300147,1447
1347,600293,3921
1348,683,4798
1349,601038,1046
1350,600362,3607
1351,2261,2030
1352,701,4790
1353,300184,1404
1354,300409,485
1355,2780,237
1356,2714,691
1357,300071,1605
1358,300440,392
1359,928,4294
1360,2097,2414
1361,2187,2193
1362,600051,4759
1363,2487,1490
1364,600707,4978
1365,14,5634
1366,600610,5634
1367,300258,1275
1368,2016,3013
1369,300242,1308
1370,2274,1985
1371,600069,4745
1372,603100,565
1373,2622,1244
1374,600839,5525
1375,300405,509
1376,600338,3855
1377,988,3994
1378,2048,2795
1379,600876,5110
1380,601886,1281
1381,300053,1648
1382,600075,4713
1383,603268,416
1384,2535,1429
1385,985,3960
1386,2162,2253
1387,23,5634
1388,603663,79
1389,600079,4720
1390,2703,989
1391,2364,1637
1392,300273,1238
1393,2347,1658
1394,603600,450
1395,600202,4236
1396,552,5565
1397,603118,432
1398,416,4934
1399,2446,1550
1400,603026,367
1401,603726,148
1402,300214,1351
1403,603333,1112
1404,600783,4824
1405,600219,4097
1406,600148,4490
1407,2442,1555
1408,2438,1564
1409,533,5569
1410,2725,690
1411,600747,4893
1412,2406,1587
1413,2759,368
1414,723,4736
1415,600064,4743
1416,2216,2136
1417,300090,1562
1418,300362,696
1419,603599,379
1420,601818,1524
1421,2419,1577
1422,300309,1129
1423,300368,694
1424,600639,5634
1425,159,3916
1426,600168,4506
1427,2407,1587
1428,2227,2085
1429,2077,2440
1430,2344,1660
1431,300336,1067
1432,300166,1419
1433,2386,1613
1434,600532,3419
1435,300204,1368
1436,725,3844
1437,300068,1605
1438,727,4733
1439,600180,4458
1440,300340,1055
1441,300566,10
1442,600390,3843
1443,600503,3495
1444,2796,136
1445,2028,2993
1446,2346,1658
1447,564,5564
1448,637,4853
1449,2071,2465
1450,603369,588
1451,917,4285
